종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
950130,2023,0,536014034.0,455359999.0,16538993.0,-23.29,267075591.0,6.19,36.4
950140,2016,0,69889831.0,61904011.0,6053262.0,,68231288.0,8.87,
950140,2017,0,86285861.0,56310308.0,-7845392.0,23.46,77053750.0,-10.18,
950140,2018,0,93706161.0,50715890.0,-253413.0,8.6,107939820.0,-0.23,13.47
950140,2019,0,99622872.0,52794148.0,5787541.0,6.31,114371312.0,5.06,9.53
950140,2020,0,99923834.0,55759542.0,6668635.0,0.3,116239246.0,5.74,8.26
950140,2021,0,108123809.0,68284300.0,14812813.0,8.21,140522222.0,10.54,7.48
950140,2022,0,106822471.0,73405781.0,7648555.0,-1.2,117271385.0,6.52,7.9
950140,2023,1,134665289.0,89123720.0,22104250.0,26.06,158405481.0,13.95,3.86
950170,2018,0,23915454000.0,14439473000.0,3130085000.0,,53192674000.0,5.88,
950170,2019,1,35724579251.0,24209473064.0,1721807226.0,49.38,51685008988.0,3.33,
950170,2020,1,52427458707.0,21918876250.0,-647312019.0,46.75,51875942867.0,-1.25,1.8
950170,2021,0,36082873404.0,11892123568.0,-9459341325.0,-31.18,1647418085.0,-574.19,3.61
950170,2022,0,25989569862.0,3005015243.0,-8669973692.0,-27.97,1344490154.0,-644.85,288.44
950170,2023,0,27434806675.0,6901688990.0,-1544254050.0,5.56,3687946958.0,-41.87,336.24
950190,2020,1,876224988.0,771714916.0,311556052.0,,742445216.0,41.96,
950190,2021,1,870548372.0,794223270.0,249295114.0,-0.65,641496219.0,38.86,
950190,2022,2,97421705.0,90565621.0,22710788.0,-88.81,75943773.0,29.9,2.19
950190,2023,1,128825258.0,118660938.0,19235312.0,32.23,75939360.0,25.33,6.26
